Filename,Polyglot_Type,VT_Analysis_ID,Analysis_Status,Malicious_Engines,Undetected_Engines
3619fbcb12d39bbc5009f473a25dcfc95b543f67cbdb88ab203bc4259903eab1_cavity.sh,cavity,OGVkY2NkMTlkMzM1NGI0NTQzYjY5MGFiM2FkNzFmZDU6MTc3NTIzMDA0MA==,completed,6,40
f44f787ed1febf572ad6b20f972e31dba769b8d19e82b55dcbf251efa0ef47ee_cavity.sh,cavity,OTU4Mzc5ODY1YWJlMTNmZGRjNmYzODMwZGM3MGZhN2Q6MTc3NTIzMDA1OQ==,completed,21,43
8033721d48f43261486b402afc26f22e0de686f21d94ad46f2f11ebda780defd_cavity.sh,cavity,MTBjMzk2Y2QyNzJlYmE1NGU3YzlhNDRiMGFiMzJiZWM6MTc3NTIzMDA3Nw==,completed,3,59
5dabcdef5b91370b31f8e78058b0d67ed055159e10f3a38bce0df13da5e6166c_cavity.sh,cavity,ODVkNzY4NTgzOWJmMWYzZDVlZDIzZDM1ODllNWY0ODQ6MTc3NTIzMDA5Ng==,completed,0,63
5a5a0657dcf5e52fce7ff6ad331b4e655cbaada15029f2eb4b3abca066d0682c_cavity.sh,cavity,Y2JhNWFkMjA5MjU4ZmYyNzQ1MWRjYWY1MjRiYjJlNTY6MTc3NTIzMDExNQ==,completed,0,62
b2e7757aac7af333aa53fb170c196bd4f324bdb60b841f6c7f233cb7b6dfc042_cavity.sh,cavity,MWJmNDk3Y2ZhZmUyOTRlODAxMmE2MjA5NDZkYWQyZTI6MTc3NTIzMDEzMw==,completed,0,62
24d0d3d9346bc42fc669ab17c3b0cd7cb7fd5b04587842eccdecd40309eb7fd7_cavity.sh,cavity,MzY2MmM2NGYyNWQxOTgwMDUwMjFhNWUxZDU2N2ZjYjE6MTc3NTIzMDE1Nw==,completed,8,55
59d2899a00e51d8f410c5ff2f573fe1d21b9b6c71c010f53aac1a73e64ad0480_cavity.sh,cavity,Zjc3ZTAxYzFiYTJiZjcxZDY2MGQ2MDg5N2ZhMTFkOTg6MTc3NTIzMDE4MA==,completed,5,56
9189499c98ba9a90ecebfb73b559d6bd44009fb7c58ed53f1a103a5b6e51a3f4_cavity.sh,cavity,NDc2MjRmOTM5N2MxMjM1ZGUxNjAwMDRiZmViYjA5Y2I6MTc3NTIzMDE5OQ==,completed,10,54
9ca881abd3c11368e381b8a9f6d32ef14e022058ce936922afb82164c17f3310_cavity.sh,cavity,ODJjMTZjOWRhMzU2ZmY1MTU2NzA2ODZmOGNmNTIzZWI6MTc3NTIzMDIxOQ==,completed,10,52
65d10ce7d4cbda9b316b4a4e1d82e0cd111f741b8aa2cf595fd9183de6364a34_cavity.sh,cavity,MWMwYTc3ZmFhY2IxY2IzZjcwMjdiYjFmZTM5MmQxMTY6MTc3NTIzMDIzOA==,completed,5,58
1b52d27482ab140ea372e8ce644585013d1b9c5618b1d7880c164549eb15f18c_cavity.sh,cavity,NGRkM2MwZDVjZTAxNWQ2OGJjYzRlMWI1OTY1ZTVlMmU6MTc3NTIzMDI1Ng==,completed,2,55
e85eb5bccd2cfb000db6a0a4dd0d29921e1e512fa3787a1eb15e764a0b050037_cavity.sh,cavity,ODNmZjEyYmNiZTg2N2QyMzQyYjFkNTA1MmVhNTZjZDY6MTc3NTIzMDI3NQ==,completed,4,60
8789320655b785043f30ed458ed5cbd84861fecd46c4b1fa710a29639cd02ecc_cavity.sh,cavity,ZjJkMTBkZDNmNWE4MjhjOTU3MTY5NDdlNGE0ZjJlYmM6MTc3NTIzMDI5NA==,completed,1,63
a741e3152b6363815bf47343189b75609f413b6409232c3a9bc00fec95b12dec_cavity.sh,cavity,MGFiM2I0ZTg2ZTg2MmUzODM5NjE5YmIzNzczNmJjNmM6MTc3NTIzMDMxMg==,completed,0,59
2f0e5799b4b47c6a9fb522937ec66d71d34266ac8cf2c077508d794ee1ff71d2_cavity.sh,cavity,MTFjYWY3ZGVlNjBiNWE0NDBhMGU4OGZmMTViMzYzMjY6MTc3NTIzMDMzMw==,completed,6,57
396454060ee01e37b2b2cfe165541152283ccba81c2ebab0591f2baa4ec607dd_cavity.sh,cavity,MDU1Y2I4M2FkZmM2OWM3YWY4MmM4ZTA3OTUwZDgzMTc6MTc3NTIzMDM1NA==,completed,7,54
a58fa03638110727f4a4a227f6ec2c0dceaeb39ccee89d12a4d727bb50d29dc0_cavity.sh,cavity,ZDg1ZGE5ZTQ4MDFlM2Q4Njg2ZTM1ZjMzZmQ0ZDE2MTI6MTc3NTIzMDM3Mw==,completed,19,39
be0fe6a1344b052d4f61cca910f7d26ad02d283f280014eeca0d1cc729e6822a_cavity.sh,cavity,YzBlMWI4OWNmMThiMzNkYTYwZmRkODIzMmJiNThmZTQ6MTc3NTIzMDM5Mw==,completed,20,44
2ee89245c6dd3edd3e14f8bc52c866757ad98b97955b181d0cd5dc719004b893_stack.sh,stack,Y2RhNTMzMmMyZTU5NzA2NGQyMGI4ZGIzNjBiNTg2MGU6MTc3NTIzMDQxMg==,completed,32,30
