Filename,Polyglot_Type,VT_Analysis_ID,Analysis_Status,Malicious_Engines,Undetected_Engines
7187b82879d2c296cd822827166dcdc3e7b355738fe59f36920da896b49e8e36_stack.js,stack,NzgwZmEwMzczNzA3NzIzYmYyY2MxYjk5OWU5ZDZhZWU6MTc3NTI1MzkyNg==,completed,15,46
b7ef4985662625c45955db295d949e04fd0a9fd5c8ce0c6a3bcb68e4a06c16e4_stack.js,stack,ZTMwN2U1YTAyNGE0MTA1MGRiYTc1YWU4MzYyYmY2Mjk6MTc3NTI1Mzk0Ng==,completed,11,51
c5cbcc786d5f4c5a53611f9c1738bdeaa3e76e0aa91f459438f79b099d5d7064_stack.js,stack,OWVhZmQ3ZTRkODhmNzYwOGZmMDdlZDE3OWFkNTk4OTU6MTc3NTI1Mzk2Ng==,completed,14,48
15387da23f7465d5c4ccd137bc21d15d74c0006c7536b92afed5337cdb3e0315_stack.js,stack,NzQ0OWI2YjkwZDAyNDFhZWI5ZDAwMDRkOThmMjMxMjY6MTc3NTI1Mzk4Ng==,completed,13,48
39bd6476057eb7a4a6b6880a1abcda4e87dc62ad44e46c7256e0e2817f780fbe_stack.js,stack,ZmVhZjAzMGJhNDZmZGEzZWYxNjdlODU3OTJmZmE4YmE6MTc3NTI1NDAwNQ==,completed,6,55
af77bb57c12e40a0f4ac6831bb8e6951d0c583fecea0f0132341ac676933e2e1_stack.js,stack,ZWRiM2M1ZWU0N2EyYjMxNzMwMzZhODFhMWViNmVlN2U6MTc3NTI1NDAyNg==,completed,20,42
3b02f53d3047588b4c4d0c693f5dd25e1a0bb441170241510a76e81fb963a583_stack.js,stack,ZWUyNzRmMmY0ZDU1ZjVjMjVhNjU4YTY2OTNjYjM4MTM6MTc3NTI1NDA0OQ==,completed,18,36
6fea579685d2433cedb1c32ef704575dcbc1d0a623769e824023ffccd0dedaae_stack.js,stack,ZTUyNjFiYzFlZWYyODM2MzQ3YjJiMzUwOGU4ZGI4NDM6MTc3NTI1NDA2OQ==,completed,14,45
b05410e06876298c0f10fa64c5cdd186c287738493e4d51a31f5ed949ebc00bc_stack.js,stack,OTEyYTIwYmIzZjI4YTY3ZGQ1NWM4ZjljMjdmMDMyZWU6MTc3NTI1NDA5MQ==,completed,16,24
be38bb3d0febd6cfca7fee8eae103ac9f3cd7396c69312309ae36261766e3e17_stack.js,stack,ZDlhNDI5OGNhMTM2MzQ3MzMwMjVhZmZkYzA5YTgyODk6MTc3NTI1NDEzMg==,completed,16,45
